time,power
1584172368000000000,394
1584172370000000000,394
1584172372000000000,394
1584172374000000000,394
1584172376000000000,394
1584172378000000000,394
1584172380000000000,394
1584172382000000000,394
1584172384000000000,393
1584172386000000000,393
1584172388000000000,393
1584172390000000000,394
1584172392000000000,394
1584172394000000000,394
1584172396000000000,394
1584172398000000000,394
1584172400000000000,394
1584172402000000000,394
1584172404000000000,394
1584172406000000000,394
1584172408000000000,394
1584172410000000000,394
1584172412000000000,394
1584172414000000000,394
1584172416000000000,394
1584172418000000000,394
1584172420000000000,394
1584172422000000000,394
1584172424000000000,394
1584172426000000000,394
1584172428000000000,394
1584172430000000000,394
1584172432000000000,394
1584172434000000000,394
1584172436000000000,394
1584172438000000000,394
1584172440000000000,394
1584172442000000000,394
1584172444000000000,394
1584172446000000000,394
1584172448000000000,394
1584172450000000000,394
1584172452000000000,394
1584172454000000000,394
1584172456000000000,394
1584172458000000000,394
1584172460000000000,394
1584172462000000000,394
1584172464000000000,395
1584172466000000000,395
1584172468000000000,395
1584172470000000000,394
1584172472000000000,395
1584172474000000000,395
1584172476000000000,395
1584172478000000000,395
1584172480000000000,395
1584172482000000000,395
1584172484000000000,395
1584172486000000000,395
1584172488000000000,395
1584172490000000000,395
1584172492000000000,395
1584172494000000000,401
1584172496000000000,402
1584172498000000000,402
1584172500000000000,402
1584172502000000000,402
1584172504000000000,402
1584172506000000000,402
1584172508000000000,402
1584172510000000000,402
1584172512000000000,401
1584172514000000000,401
1584172516000000000,401
1584172518000000000,402
1584172520000000000,402
1584172522000000000,402
1584172524000000000,402
1584172526000000000,402
1584172528000000000,402
1584172530000000000,402
1584172532000000000,402
1584172534000000000,402
1584172536000000000,402
1584172538000000000,402
1584172540000000000,402
1584172542000000000,402
1584172544000000000,401
1584172546000000000,401
1584172548000000000,401
1584172550000000000,401
1584172552000000000,401
1584172554000000000,401
1584172556000000000,401
1584172558000000000,401
1584172560000000000,401
1584172562000000000,401
1584172564000000000,401
1584172566000000000,401
1584172568000000000,402
1584172570000000000,402
1584172572000000000,402
1584172574000000000,401
1584172576000000000,401
1584172578000000000,401
1584172580000000000,401
1584172582000000000,401
1584172584000000000,401
1584172586000000000,401
1584172588000000000,401
1584172590000000000,401
1584172592000000000,401
1584172594000000000,401
1584172596000000000,401
1584172598000000000,401
1584172600000000000,401
1584172602000000000,401
1584172604000000000,401
1584172606000000000,401
1584172608000000000,401
1584172610000000000,401
1584172612000000000,401
1584172614000000000,401
1584172616000000000,401
1584172618000000000,401
1584172620000000000,401
1584172622000000000,401
1584172624000000000,401
1584172626000000000,401
1584172628000000000,401
1584172630000000000,401
1584172632000000000,401
1584172634000000000,401
1584172636000000000,401
1584172638000000000,401
1584172640000000000,401
1584172642000000000,401
1584172644000000000,401
1584172646000000000,401
1584172648000000000,401
1584172650000000000,401
1584172652000000000,401
1584172654000000000,401
1584172656000000000,401
1584172658000000000,401
1584172660000000000,401
1584172662000000000,400
1584172664000000000,401
1584172666000000000,401
1584172668000000000,401
1584172670000000000,401
1584172672000000000,401
1584172674000000000,401
1584172676000000000,401
1584172678000000000,401
1584172680000000000,401
1584172682000000000,401
1584172684000000000,401
1584172686000000000,394
1584172688000000000,394
1584172690000000000,394
1584172692000000000,394
1584172694000000000,394
1584172696000000000,395
1584172698000000000,395
1584172700000000000,395
1584172702000000000,395
1584172704000000000,395
1584172706000000000,395
1584172708000000000,395
1584172710000000000,395
1584172712000000000,395
1584172714000000000,395
1584172716000000000,395
1584172718000000000,395
1584172720000000000,395
1584172722000000000,395
1584172724000000000,395
1584172726000000000,395
1584172728000000000,395
1584172730000000000,395
1584172732000000000,395
1584172734000000000,395
1584172736000000000,396
1584172738000000000,396
1584172740000000000,396
1584172742000000000,396
1584172744000000000,396
1584172746000000000,396
1584172748000000000,396
1584172750000000000,396
1584172752000000000,396
1584172754000000000,396
1584172756000000000,396
1584172758000000000,395
1584172760000000000,396
1584172762000000000,396
1584172764000000000,396
1584172766000000000,396
1584172768000000000,396
1584172770000000000,396
1584172772000000000,396
1584172774000000000,396
1584172776000000000,396
1584172778000000000,396
1584172780000000000,396
1584172782000000000,396
1584172784000000000,396
1584172786000000000,396
1584172788000000000,396
1584172790000000000,395
1584172792000000000,395
1584172794000000000,395
1584172796000000000,395
1584172798000000000,396
1584172800000000000,397
1584172802000000000,397
1584172804000000000,397
1584172806000000000,396
1584172808000000000,396
1584172810000000000,396
1584172812000000000,396
1584172814000000000,396
1584172816000000000,397
1584172818000000000,397
1584172820000000000,397
1584172822000000000,397
1584172824000000000,397
1584172826000000000,397
1584172828000000000,397
1584172830000000000,397
1584172832000000000,396
1584172834000000000,396
1584172836000000000,396
1584172838000000000,397
1584172840000000000,397
1584172842000000000,397
1584172844000000000,397
1584172846000000000,397
1584172848000000000,397
1584172850000000000,397
1584172852000000000,397
1584172854000000000,397
1584172856000000000,397
1584172858000000000,397
1584172860000000000,397
1584172862000000000,397
1584172864000000000,397
1584172866000000000,397
1584172868000000000,397
1584172870000000000,397
1584172872000000000,397
1584172874000000000,397
1584172876000000000,397
1584172878000000000,188
1584172880000000000,184
1584172882000000000,187
1584172884000000000,187
1584172886000000000,190
1584172888000000000,186
